date,home_team,away_team,time,match_id,attacks_home,attacks_away,attempts_on_goal_home,attempts_on_goal_away,corners_home,corners_away,dangerous_attacks_home,dangerous_attacks_away,fauls_home,fauls_away,free_kicks_home,free_kicks_away,goal_kicks_home,goal_kicks_away,offsides_home,offsides_away,penalties_home,penalties_away,possesion_home,possesion_away,red_cards_home,red_cards_away,saves_home,saves_away,shots_blocked_home,shots_blocked_away,shots_off_target_home,shots_off_target_away,shots_on_target_home,shots_on_target_away,substitutions_home,substitutions_away,throw_ins_home,throw_ins_away,treatments_home,treatments_away,yellow_cards_home,yellow_cards_away,half_time_score_home,half_time_score_away,full_time_score_home,full_time_score_away
2025-05-24,Zaglebie Lubin,Cracovia,15:30,630131,82.0,103.0,12.0,17.0,8,4,73.0,71.0,11,6,,,,,1.0,3.0,0.0,0.0,50.0,50.0,0.0,0.0,3.0,1.0,3.0,7.0,10.0,12.0,2,5,,,,,,,1.0,2.0,0.0,2.0,1,2
2025-05-24,Rakow Czestochowa,Widzew Lodz,15:30,630130,98.0,66.0,18.0,6.0,8,7,54.0,36.0,12,12,,,,,4.0,0.0,2.0,0.0,50.0,50.0,1.0,0.0,1.0,6.0,3.0,3.0,10.0,4.0,8,2,,,,,,,5.0,3.0,1.0,0.0,2,1
2025-05-24,RKS Radomiak 1910 SA Radom,Motor Lublin,15:30,630129,86.0,78.0,19.0,15.0,3,6,57.0,47.0,13,14,,,,,1.0,1.0,0.0,0.0,59.0,41.0,0.0,0.0,2.0,5.0,2.0,3.0,13.0,10.0,7,5,,,,,,,3.0,4.0,0.0,1.0,2,3
2025-05-24,Puszcza Niepolomice,Slask Wroclaw,15:30,630128,95.0,102.0,13.0,19.0,6,5,62.0,68.0,15,17,,,,,0.0,1.0,0.0,0.0,43.0,56.0,0.0,0.0,4.0,4.0,4.0,4.0,8.0,13.0,5,5,,,,,,,2.0,1.0,1.0,0.0,1,1
2025-05-24,Legia Warszawa,Stal Mielec,15:30,630127,71.0,57.0,19.0,10.0,12,2,68.0,26.0,12,8,,,,,4.0,2.0,0.0,1.0,52.0,48.0,0.0,0.0,1.0,6.0,4.0,4.0,11.0,7.0,8,3,,,,,,,1.0,3.0,0.0,0.0,2,2
2025-05-24,Lechia Gdansk,GKS Katowice,15:30,630126,107.0,96.0,16.0,15.0,5,5,84.0,58.0,6,8,,,,,0.0,1.0,0.0,0.0,46.0,54.0,0.0,0.0,6.0,3.0,3.0,2.0,11.0,7.0,5,8,,,,,,,3.0,0.0,1.0,1.0,2,3
2025-05-24,Lech Poznan,Piast Gliwice,15:30,630125,75.0,68.0,12.0,16.0,4,5,44.0,38.0,16,9,,,,,1.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,4.0,1.0,5.0,7.0,11.0,12.0,1,4,,,,,,,1.0,1.0,1.0,0.0,1,0
2025-05-24,Jagiellonia Bialystok,Pogon Szczecin,15:30,630124,80.0,69.0,17.0,8.0,9,4,61.0,30.0,14,15,,,,,4.0,3.0,0.0,0.0,63.0,37.0,0.0,0.0,1.0,5.0,5.0,2.0,11.0,6.0,6,2,,,,,,,2.0,4.0,0.0,1.0,1,1
2025-05-24,Gornik Zabrze,Korona Kielce,15:30,630123,89.0,77.0,15.0,19.0,7,9,61.0,63.0,9,12,,,,,3.0,2.0,0.0,0.0,57.0,42.0,1.0,1.0,3.0,6.0,3.0,8.0,6.0,14.0,8,4,,,,,,,2.0,2.0,0.0,0.0,1,1
2025-05-19,Widzew Lodz,Puszcza Niepolomice,17:00,629252,102.0,77.0,18.0,11.0,6,2,69.0,37.0,12,9,,,,,0.0,1.0,0.0,0.0,48.0,52.0,0.0,0.0,2.0,1.0,8.0,7.0,15.0,9.0,3,3,,,,,,,2.0,2.0,0.0,0.0,2,0
